,correct,rt,cond,log_rt
701,1,0.4684,Neutral,-0.7584326472585748
702,0,0.2924,Speed,-1.2296325511065136
703,0,0.3184,Speed,-1.144446825011909
704,1,0.7399,Accuracy,-0.3012402370506318
705,1,0.6624,Neutral,-0.41188567591108716
706,1,0.4995,Accuracy,-0.6941476808935289
707,0,0.3698,Speed,-0.9947929600291125
708,1,0.3765,Accuracy,-0.9768372317421887
709,0,0.341,Speed,-1.07587280169862
710,1,0.5259,Neutral,-0.6426441983868385
711,1,0.3314,Speed,-1.1044291739896746
712,1,0.4341,Accuracy,-0.8344803566765893
713,0,0.5081,Neutral,-0.6770770003824509
714,1,0.374,Speed,-0.9834994815676051
715,1,0.6178,Neutral,-0.4815904984976557
716,1,0.4931,Neutral,-0.7070432857520567
717,0,0.5491,Neutral,-0.59947470469731
718,0,0.3548,Speed,-1.0362010285467127
719,1,0.6018,Neutral,-0.5078301147861922
720,1,0.4323,Neutral,-0.8386354873085509
721,1,0.4744,Speed,-0.7457044312986214
722,1,0.3518,Speed,-1.0446924466786793
723,1,0.3241,Speed,-1.1267031688346354
724,0,0.3205,Speed,-1.1378730026214123
725,1,0.451,Accuracy,-0.7962879394794586
726,1,0.5735,Neutral,-0.5559973424127117
727,1,0.3767,Neutral,-0.9763061642841417
728,1,0.3809,Speed,-0.9652184054975786
729,1,0.3372,Speed,-1.0870790528544367
730,1,0.4841,Neutral,-0.7254637820364884
731,0,0.4133,Accuracy,-0.8835815574644503
732,1,0.3526,Speed,-1.0424210090183672
733,1,0.9948,Accuracy,-0.005213567052887434
734,0,0.3865,Speed,-0.9506234109546604
735,1,0.4428,Speed,-0.8146370781476552
736,1,0.4526,Neutral,-0.7927465457827001
737,1,0.5341,Accuracy,-0.6271721916364124
738,0,0.5044,Accuracy,-0.6843856748913726
739,1,0.3966,Speed,-0.9248270628964415
740,1,0.3499,Speed,-1.0501078796084948
741,1,0.3459,Speed,-1.061605563039014
742,1,1.4769,Accuracy,0.3899452964501276
743,0,0.3329,Speed,-1.099913134401158
744,1,0.3194,Speed,-1.141311043201225
745,0,0.3422,Speed,-1.072359917524044
746,1,0.5249,Accuracy,-0.6445475107238829
747,1,0.9281,Neutral,-0.07461579338078989
748,1,0.5091,Accuracy,-0.6751108180738468
749,0,0.3455,Speed,-1.0627626357744124
750,0,0.4006,Speed,-0.9147918557504191
751,0,0.3646,Speed,-1.0089544167375744
752,1,0.4086,Speed,-0.8950185965986153
753,1,0.6714,Neutral,-0.3983901944362025
754,0,0.4106,Speed,-0.8901357743973038
755,1,0.5917,Accuracy,-0.5247555292994887
756,1,0.3464,Speed,-1.060161102293857
757,1,0.353,Speed,-1.0412872220488403
