,correct,left_coherence,pressed,right_coherence,rt,subj,coherence
213,True,0.12,J,0.18,0.2963179169769319,101,"0.12, 0.18"
214,True,0.06,J,0.24,0.2881692649962133,101,"0.06, 0.24"
215,True,0.06,J,0.24,0.3620227352694201,101,"0.06, 0.24"
216,False,0.12,J,0.12,0.3524728692264034,101,"0.12, 0.12"
217,False,0.06,F,0.18,0.3229113390980274,101,"0.06, 0.18"
218,False,0.12,J,0.0,0.25182635750843474,101,"0.0, 0.12"
219,True,0.18,F,0.0,0.25313392641919563,101,"0.0, 0.18"
220,True,0.06,J,0.18,0.2650153627919281,101,"0.06, 0.18"
221,False,0.12,F,0.12,0.18897397606815505,101,"0.12, 0.12"
222,False,0.3,J,0.0,0.21827493440696344,101,"0.0, 0.3"
223,True,0.18,F,0.0,0.2160437971169813,101,"0.0, 0.18"
224,True,0.24,J,0.24,0.2878998273936304,101,"0.24, 0.24"
225,True,0.3,F,0.06,0.26285792257385765,101,"0.06, 0.3"
226,False,0.3,J,0.18,0.06451998548254778,101,"0.18, 0.3"
227,True,0.24,F,0.0,0.2644302191238239,101,"0.0, 0.24"
228,True,0.0,J,0.24,0.3142704959591356,101,"0.0, 0.24"
229,True,0.3,F,0.12,0.29203669892558537,101,"0.12, 0.3"
230,True,0.24,J,0.3,0.3142515175777589,101,"0.24, 0.3"
231,False,0.0,F,0.0,0.306014068937202,101,"0.0, 0.0"
232,True,0.0,J,0.06,0.2997922075046517,101,"0.0, 0.06"
233,False,0.18,J,0.06,0.3192895158990723,101,"0.06, 0.18"
234,False,0.3,F,0.3,0.2889367119473718,101,"0.3, 0.3"
235,False,0.18,J,0.12,0.2014095257623012,101,"0.12, 0.18"
236,False,0.0,F,0.12,0.29000074805298937,101,"0.0, 0.12"
237,False,0.3,J,0.06,0.3478339710259206,101,"0.06, 0.3"
238,False,0.24,J,0.06,0.3722319961657377,101,"0.06, 0.24"
239,False,0.06,J,0.06,0.32224848103714976,101,"0.06, 0.06"
240,False,0.06,J,0.0,0.4845093465064565,101,"0.0, 0.06"
241,True,0.12,J,0.24,0.4025716399260091,101,"0.12, 0.24"
242,True,0.12,J,0.24,0.4979496421810836,101,"0.12, 0.24"
243,True,0.0,J,0.3,0.6237573316116141,101,"0.0, 0.3"
244,True,0.24,F,0.06,0.34759861139173154,101,"0.06, 0.24"
245,True,0.18,J,0.18,0.34143548597148765,101,"0.18, 0.18"
